easy	e-z
about	approximately
abstract	summary
accomplish	achieve
accumulate	build
administer	manage
admit	confess
animated	lively
annoy	bother
answer	reply
anyway	besides
apparent	obvious
applicable	relevant
appreciable	considerable
ardour	passion
arise	occur
aromatic	fragrant
artful	crafty
association	organization
assure	guarantee
attractive	appealing
away	absent
awful	terrible
backbone	spine
backside	behind,bottom
bad	naughty
ballot	poll
bear	affect
beat	defeat
becoming	fitting
begin	start
behave	act
believable	plausible
belly	stomach
bendy	flexible
beneficiant	generous
beneficial	favourable
bid	tender
bizarre	weird
blameless	innocent
bloodbath	massacre
bloodless	cold
branch	department
brave	courageous
brow	forehead
bum	backside,behind,bottom
business	commerce,trade
busy	engaged
candy	sweet
categorize	classify
charter	constitution
cheesy	corny,tacky
chiefly	mainly
choosy	picky
chop	cut
chorus	refrain
citation	quotation
cite	quote
class	lesson,course
clerk	receptionist
clever	intelligent
close	shut
coiffure	hairstyle
collapse	break
collect	gather
comfort	consolation
comic	comedian
commencement	graduation
complete	total
concord	harmony
confederate	accomplice
confine	restrict
conflict	clash
conform	comply
connect	associate
considerate	thoughtful
constancy	fidelity
constant	fixed
constitution	structure
consult	refer
continuous	continual
contrary	opposite
convention	conference
convey	communicate
cope	manage
couch	sofa
crook	criminal
crusade	campaign
cube	dice
curative	healing
curler	roller
cussed	stubborn
dash	sprint
daybreak	dawn
deceptive	misleading
decontrol	deregulate
dedicated	committed
deduce	infer
defective	faulty
deliberate	planned
deliberately	intentionally
delicate	fragile
demostrate	protest
denationalize	privatize
denims	jeans
denote	indicate,represent
deprave	corrupt
depraved	wicked,evil
desert	abandon
deserted	abandoned
destiny	fate
detached	indifferent
devil	satan
dicy	risky
differentiate	distinguish
diminish	decrease
disadvantaged	deprived
disagreeable	unpleasant
disappear	vanish
disaster	catastrophe
disclaim	deny
disclose	reveal
discount	reduction
disgrace	shame
domesticate	cultivate
dossier	file
dubious	doubtful
dull	stupid
eager	keen
earth	soil
ecocnomic	profitable
egocentric	selfish
elevate	raise,promote
emphasise	stress
enormous	huge,immense
enquire	investigate
equity	fairness
especially	particularly
essential	fundamental
evaluate	assess
everlasting	eternal
exactly	precisely
except	apart
extra	additional
fabricate	manufacture
famous	famed,renowned
fanatic	enthusiast
float	drift
fool	idiot
foolish	silly
forehead	brow
formerly	previously
fortunate	lucky
foxy	cunning
foyer	lobby
fragrance	perfume
function	operate
garbage	rubbish
gay	homosexual
glitter	sparkle
grab	seize
grasping	greedy
gratuity	tip
gravestone	headstone
grouse	grumble
gut	intestine
hall	corridor
handsome	good-looking
hang-out	haunt
happily	fortunately
hard	tough
hashish	cannabis
hawk	peddle
hazard	endanger
hearsay	rumour
hermetic	airtight
highbrow	intellectual
hint	trace,tip
hole	gap
home	domestic
homicide	murder
housebreaking	burglary
hunger	starvation
hurry	rush
hypothesis	speculation
idler	loafer
if	whether
ignore	disregard
illiberal	intolerant
illuminate	clarify
illustrate	demonstrate
imagine	suppose,assume
imitate	mimic
immediate	instant
immobile	motionless
immoderate	excessive
immodest	conceited
impact	affect
impartial	neutral
impasse	deadlock
impassive	emotionless
impeach	question
impediment	obstacle
imperative	vital
impolite	rude
inconsiderate	thoughtless
indisputable	indeniable
infamous	notorious
infantile	childish
infect	contaminate
inflexible	rigid
inflow	influx
informal	casual
infrequent	rare
inheritor	heir
innocent	harmless
insolvent	bancrupt
inspect	examine
instinct	intuition
instructions	directions
insufferable	unbearable
insufficient	inadequate
insupportable	intolerable
insurgent	rebel
intellectual	mental
intensify	heighten
interplay	interaction
inventory	stock
invoice	bill
ivolve	entail
isolated	loney
jealous	envious
joy	delight
knowingly	deliberately
lacking	missing
last	final
leading	main
learn	memorize
legitimate	valid,lega
lethal	deadly
liveable	habitable
livid	furious
loopy	crazy
lousy	awful
lucid	clear
madness	insanity
magician	conjuror
magnify	exaggerate
maintain	preserve
manmade	artifical
